Name of State/UT,Name of District,Disease/Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting
Bihar,Jehanabad,Measles,5,0,09-11-23,
Chhattisgarh,Narayanpur,Fever with Altered sensorium,3,3,29-11-23,
Jharkhand,Dhanbad,Dengue,56,0,16-11-23,
Kerala,Palakkad,Mumps,12,0,07-11-23,
Maharashtra,Pune,Dengue,7,0,24-11-23,
Puducherry,Pondicherry,Animal Bite - Dog Bite,25,0,29-11-23,
Tamil Nadu,Virudhunagar,Leptospirosis,8,0,30-11-23,
Bihar,Nalanda,Chickenpox,12,00,23-01-2023,23-01-2023
Chhattisgarh,Janigir-Champa,Chickenpox,11,00,23-01-2023,23-01-2023
Karnataka,Hassan,Human Rabies,01,01,21-01-2023,25-01-2023
Kerala,Kollam,Food Poisoning,23,00,27-01-2023,28-01-2023
Kerala,Malappuram,Food Poisoning,20,00,21-01-23,31-01-23
Kerala,Thrissur,Acute Diarrheal Disease,30,00,26-01-23,22
Kerala,Wayanad,Acute Diarrheal Disease,98,00,24-01-23,30-01-23
Odisha,Deogarh,Acute Diarrheal Disease,20,00,27-01-2023,27-01-2023
Rajasthan,Dausa,Food Poisoning,103,00,25-01-2023,27-01-2023
Tamil Nadu,Tiruchirappalli,Cholera,06,00,27-01-2023,28-01-2023
Uttar Pradesh,Pilibhit,Acute Diarrheal Disease,25,00,21-01-2023,27-01-2023
Gujarat,Gir Somnath,Measles,05,00,17-12-2022,
Kerala,Kannur,Hepatitis A,12,00,17-11-22,
Assam,Barpeta,Rabies,1,1,16-12-23,17-12-23
Assam,Kamrup,Acute Diarrheal Disease,122,0,13-12-23,17-12-23
Assam,Udalguri,Chickenpox,11,0,16-12-23,16-12-23
Bihar,Patna,Mumps,28,0,06-12-23,11-12-23
Bihar,Supaul,Measles,5,0,09-12-23,16-12-23
Chhattisgarh,Kabirdham,Acute Diarrheal Disease,10,0,10-12-23,12-12-23
Gujarat,Junagadh,Acute Diarrheal Disease,35,0,11-12-23,11-12-23
Gujarat,Rajkot,Acute Diarrheal Disease,18,0,14-12-23,14-12-23
Jharkhand,East Singhbum,Measles,2,0,14-12-23,15-12-23
Karnataka,Belagavi,Animal Bite - Dog Bite,22,0,14-12-23,16-12-23
Karnataka,Raichur,Acute Diarrheal Disease,26,0,10-12-23,11-12-23
Karnataka,Shivamogga,Kyasanur Forest Disease,1,0,15-12-23,15-12-23
Kerala,Kannur,Hepatitis A,11,0,14-12-23,14-12-23
Kerala,Kollam,Acute Diarrheal Disease,36,0,12-12-23,12-12-23
Kerala,Kottayam,Chickenpox,9,0,07-12-23,11-12-23
Kerala,Thiruvananthapuram,Mumps,7,0,13-12-23,14-12-23
Kerala,Thrissur,Chickenpox,24,0,11-12-23,12-12-23
Madhya Pradesh,Harda,Mumps,20,0,12-12-23,14-12-23
Madhya Pradesh,Hoshangabad,Acute Diarrheal Disease,35,0,10-12-23,11-12-23
Madhya Pradesh,Jhabua,Acute Diarrheal Disease,15,1,11-12-23,11-12-23
Maharashtra,Amravati,Malaria,17,0,08-12-23,11-12-23
Maharashtra,Aurangabad,Acute Diarrheal Disease,40,0,15-12-23,16-12-23
Maharashtra,Gadchiroli,Malaria,6,1,09-12-23,12-12-23
Maharashtra,Palghar,Dengue,7,1,11-12-23,11-12-23
Mizoram,Mamit,Food Poisoning,14,0,17-12-23,17-12-23
Odisha,Rayagada,Acute Diarrheal Disease,18,0,11-12-23,13-12-23
Odisha,Sundargarh,Cholera,3001,9,11-12-23,16-12-23
Rajasthan,Baran,Mumps,60,0,13-12-23,13-12-23
Tamil Nadu,Namakkal,Chickenpox,11,0,15-12-23,16-12-23
Tamil Nadu,Tiruvannamalai,Cholera,20,1,13-12-23,14-12-23
Bihar,Supaul,Measles,5,0,04-12-23,
Karnataka,Bagalkot,Mumps,14,0,16-11-23,
Maharashtra,Nashik,Zika Virus,1,0,29-11-23,
Odisha,Dhenkanal,Typhoid,11,0,01-12-23,
Assam,Bajali,Scrub Typhus,1,1,22-12-23,23-12-23
Assam,Darrang,Human Rabies,1,1,16-12-23,18-12-23
Assam,Lakhimpur,Fever with Rash,7,0,20-12-23,20-12-23
Chhattisgarh,Balod,Chickenpox,20,0,17-12-23,19-12-23
Chhattisgarh,Bijapur,Mumps,21,0,15-12-23,22-12-23
Chhattisgarh,Durg,Acute Diarrheal Disease,121,0,18-12-23,18-12-23
Gujarat,Sabar Kantha,Crimean-Congo Hemorrhagic Fever,1,1,21-12-23,22-12-23
Gujarat,Surendranagar,Food Poisoning,35,0,22-12-23,22-12-23
Jammu and Kashmir,Udhampur,Mumps,15,0,18-12-23,19-12-23
Karnataka,Bengaluru Rural,Mumps,12,0,19-12-23,19-12-23
Karnataka,Gadag,Mumps,43,0,19-12-23,19-12-23
Karnataka,Vijayapura,Human Rabies,1,1,19-12-23,20-12-23
Kerala,Kannur,Food Poisoning,35,0,21-12-23,22-12-23
Kerala,Kozhikode,Hepatitis A,16,0,18-12-23,18-12-23
Kerala,Palakkad,Jaundice,18,0,18-12-23,18-12-23
Kerala,Pathanamthitta,Hepatitis A,6,0,20-12-23,23-12-23
Kerala,Wayanad,Chickenpox,18,0,20-12-23,20-12-23
Madhya Pradesh,Datia,Chickenpox,7,0,19-12-23,20-12-23
Madhya Pradesh,Datia,Chickenpox,5,0,17-12-23,18-12-23
Madhya Pradesh,East Nimar,Fever,23,0,19-12-23,19-12-23
Madhya Pradesh,Hoshangabad,Leptospirosis,3,1,22-12-23,22-12-23
Madhya Pradesh,Hoshangabad,Scrub Typhus,6,0,22-12-23,22-12-23
Madhya Pradesh,Narsinghpur,Chickenpox,9,0,16-12-23,19-12-23
Maharashtra,Gadchiroli,Food Poisoning,132,0,20-12-23,20-12-23
Maharashtra,Jalgaon,Acute Diarrheal Disease,62,0,23-12-23,23-12-23
Maharashtra,Nashik,Chikungunya,8,0,23-11-23,20-12-23
Maharashtra,Raigad,Dengue,1,1,18-12-23,20-12-23
Maharashtra,Sangli,Mumps,9,0,16-12-23,18-12-23
Odisha,Mayurbhanj,Acute Diarrheal Disease,78,0,24-12-23,24-12-23
Tamil Nadu,Thanjavur,Mumps,6,0,20-12-23,21-12-23
Tamil Nadu,Tiruchirappalli,Acute Diarrheal Disease,20,0,21-12-23,22-12-23
Tripura,Gomati,Acute Gastroenteritis,31,0,20-12-23,21-12-23
Uttar Pradesh,Lalitpur,Measles,11,0,19-12-23,21-12-23
Uttar Pradesh,Pratapgarh,Mumps,10,0,21-12-23,23-12-23
Uttarakhand,Pauri Garhwal,Fever,27,0,19-12-23,19-12-23
Maharashtra,Satara,Chikungunya,5,0,09-12-23,
Uttar Pradesh,Baghpat,Food Poisoning,21,0,07-12-23,
Uttar Pradesh,Banda,Mumps,29,0,13-12-23,
Uttar Pradesh,Banda,Chickenpox,22,0,14-12-23,
Uttar Pradesh,Kushi Nagar,Food Poisoning,24,0,06-12-23,
Uttar Pradesh,Saharanpur,Fever,144,0,07-12-23,
Assam,Barpeta,Scrub Typhus,1,1,25-12-23,30-12-23
Assam,Udalguri,Acute Diarrheal Disease,10,0,30-12-23,30-12-23
Bihar,Jehanabad,Food Poisoning,13,0,27-12-23,27-12-23
Chhattisgarh,Baloda Bazar,Acute Diarrheal Disease,23,0,27-12-23,28-12-23
Gujarat,Bharuch,Acute Diarrheal Disease,35,0,27-12-23,28-12-23
Gujarat,Gandhinagar,Cholera,4,0,30-12-23,30-12-23
Karnataka,Bagalkot,Mumps,19,0,27-11-23,27-12-23
Karnataka,Bengaluru Rural,Cholera,318,1,25-12-23,25-12-23
Karnataka,Chitradurga,Food Poisoning,37,0,27-12-23,28-12-23
Madhya Pradesh,Khargone,Acute Diarrheal Disease,34,0,27-12-23,27-12-23
Odisha,Cuttack,Acute Diarrheal Disease,16,0,27-12-23,27-12-23
Odisha,Kandhamal,Acute Diarrheal Disease,126,0,25-12-23,26-12-23
Odisha,Sundargarh,Acute Diarrheal Disease,25,0,29-12-23,30-12-23
Tamil Nadu,Tiruvannamalai,Cholera,45,0,23-12-23,26-12-23
West Bengal,Coochbehar,Acute Diarrheal Disease,60,0,29-12-23,29-12-23
Bihar,Pashchim Champaran,Measles,18,0,10-12-23,-
Bihar,Pashchim Champaran,Measles,7,0,04-12-23,-
Uttar Pradesh,Rae Bareli,Acute Diarrheal Disease,87,0,21-12-23,-
West Bengal,Purba Bardhaman,Food Poisoning,16,0,18-12-23,-
Chhattisgarh,Baloda Bazar,Chickenpox,52,00,21-01-2023,30-01-2023
Gujarat,Mahesana,Acute Diarrheal Disease,449,00,02-02-2023,02-02-2023
Himachal Pradesh,Kangra,Acute Diarrheal Disease,112,00,31-01-2023,31-01-2023
Kerala,Kanpur,Food Poisoning,40,00,30-01-23,
Kerala,Kasaragod,Suspected Food Poisoning,665,00,01-02-23,07-02-23
Kerala,Palakkad,Influenza H3N2,23,00,26-01-23,09-02-23
Karnataka,Bengaluru,Acute Diarrheal Disease,44,00,19-01-23,31-01-23
Karnataka,Belagavi,Food Poisoning,25,00,05-02-23,06-02-23
Karnataka,Chikkamagaluru,Kyasanur Forest Disease,01,00,21-01-23,21-01-23
Karnataka,Davangere,Food Poisoning,12,00,28-01-23,30-01-23
Karnataka,Davangere,Chickenpox,13,00,23-01-23,23-01-23
Karnataka,Shivamogga,Acute Diarrheal Disease,178,00,16-01-23,17-01-23
Karnataka,Tumkur,Dengue and Chikungunya,20,00,23-01-23,24-01-23
Karnataka,Tumkur,Pyresia of Unknown Origin,125,00,20-01-23,24-01-23
Karnataka,Tumkur,Chikungunya,15,00,16-01-23,20-01-23
Karnataka,Uduppi,Food Poisoning,30,00,20-01-23,21-01-23
Maharashtra,Latur,Measles,07,00,30-01-2023,30-01-2023
Maharashtra,Sangli,Food Poisoning,34,00,27-01-2023,31-01-2023
Odisha,Bargarh,Food Poisoning,31,00,31-01-2023,31-01-2023
Odisha,Cuttack,Food Poisoning,220,00,19-01-2023,30-01-2023
Puducherry,Pondicherry,Food poisoning,15,00,31-01-2023,31-01-2023
Rajasthan,Alwar,Measles,92,00,19-11-2022,03-02-2023
Uttar Pradesh,Fatehpur,Chickenpox,24,00,27-01-2023,01-02-2023
Kerala,Malappuram,Cutaneous Leishmaniasis,02,00,15-11-22,
Karnataka,Bengaluru Rural,Chickenpox,24,00,15-01-23,
Maharashtra,Ahmednagar,Dengue,02,01,13-01-2023,
Assam,Marigoon,Leptospirosis,01,00,08-02-2023,09-02-2023
Chhattisgarh,Baloda Bazar,Chickenpox,21,00,25-01-2023,06-02-2023
Gujarat,Junagadh,Food Poisoning,32,00,10-02-2023,11-02-2023
Jharkhand,Dumka,Chickenpox,03,00,07-02-2023,08-02-2023
Karnataka,Bengaluru Urban,Chickenpox,29,00,08-02-2023,09-02-2023
Karnataka,Bidar,Rabies,01,01,02-02-23,06-02-23
Karnataka,Ballari,Rabies,01,01,06-02-23,07-02-23
Karnataka,Dakshina Kannada,Food Poisoning,22,00,07-02-23,09-02-23
Karnataka,Dakshina Kannada,Acute Diarrheal Disease,34,00,08-02-23,09-02-23
Karnataka,Hassan,Chickenpox,29,00,03-02-23,07-02-23
Karnataka,Tumkur,Chickenpox,13,00,04-02-23,09-02-23
Karnataka,Udupi,Acute Diarrheal Disease,12,00,04-02-23,06-02-23
Kerala,Kanpur,Food Poisoning,181,00,08-02-23,10-02-23
Kerala,Palakkad,Chickenpox,19,00,26-01-23,16-02-23
Kerala,Thrissur,Chickenpox,11,00,04-02-23,15-02-23
Odisha,Angul,Food Poisoning,27,00,06-02-23,07-02-23
Odisha,Deogarh,Chickenpox,28,00,10-02-2023,10-02-2023
Uttar Pradesh,Mirzapur,Jatropha Poisoning,16,00,05-01-2023,07-02-2023
Kerala,Ernakulam,Acute Diarrheal Disease,17,00,07-01-23,
Kerala,Kozhikode,Acute Diarrheal Disease,0,00,13-01-2023,
Meghalaya,West Khasi Hills,Rubella,01,00,08-01-2023,
Assam,Dibrugarh,Rabies,01,01,13-02-2023,13-02-2023
Assam,Sonitpur,Chickenpox,20,00,16-02-2023,17-02-2023
Gujarat,Jamnagar,Food Poisoning,44,00,19-02-2023,19-02-2023
Jharkhand,Khunti,Chickenpox,17,00,11-02-2023,13-02-2023
Karnataka,Kodagu,Diphtheria,01,01,11-02-23,13-02-23
Karnataka,Hassan,Food Poisoning,16,00,16-02-23,17-02-23
Karnataka,Yadgiri,Acute Diarrheal Disease,93,03,14-02-23,19-02-23
Kerala,Ernakulam,Food Poisoning,105,00,11-02-23,20-02-23
Maharashtra,Osmanabad,Food Poisoning,13,00,19-02-2023,19-02-2023
Odisha,Balasore,Japanese Encephalitis,12,01,17-02-23,18-02-23
Uttar Pradesh,Mirzapur,Food Poisoning,21,02,13-02-2023,14-02-2023
Bihar,Katihar,Food Poisoning,145,00,07-02-2023,
Chhattisgarh,Kanker,Acute Diarrheal Disease,167,00,09-02-2023,
Jammu and Kashmir,Anantnag,Hepatitis A,44,00,16-01-2023,
Karnataka,Hassan,Measles & Rubella,60,00,09-02-23,
Kerala,Kannur,Food Poisoning,238,00,09-02-2023,
Kerala,Malappuram,Cutaneous Leishmaniasis,01,00,04-02-23,
Kerala,Wayanand,Acute Diarrheal Disease,43,00,17-01-23,
Maharashtra,Solapur,Food Poisoning,66,00,02-02-2023,
Odisha,Jajpur,Hepatitis A,19,00,17-01-23,
Uttar Pradesh,Fatehpur,Measles,05,00,07-02-2023,
Uttar Pradesh,Jalaun,Measles,31,00,08-02-2023
Gujarat,Navsari,Food Poisoning,18,00,20-02-2023,21-02-2023
Jammu and Kashmir,Badgam,Jaundice,08,00,22-02-2023,25-02-2023
Jammu and Kashmir,Badgam,Hepatitis A,09,00,20-02-2023,23-02-2023
Kerala,Kannur,Food Poisoning,182,00,24-02-23,27-02-23
Kerala,Kottayam,Monkey Pox,01,00,20-02-23,20-02-23
Karnataka,Bagalkote,Chickenpox,10,00,21-02-23,23-02-23
Karnataka,Yadgir,Chikungunya,13,00,21-02-23,22-02-23
Madhya Pradesh,Betul,Acute Diarrheal Disease,31,00,23-02-2023,24-02-2023
Madhya Pradesh,Khargone,Acute Diarrheal Disease,46,00,26-02-2023,26-02-2023
Odisha,Bargarh,Food Poisoning,14,00,23-02-2023,23-02-2023
Telangana,Narayanpet,Acute Diarrheal Disease,64,00,21-02-2023,21-02-2023
Uttarakhand,Pithoragarh,Hepatitis A,56,00,21-02-23,26-02-23
Assam,Lakhimpur,Acute Diarrheal Disease,28,00,07-02-2023,
Bihar,Patna,Measles,17,00,31-01-2023,
Jharkhand,Jamtara,Measles & Rubella,05,00,08-02-2023,
Kerala,Malappuram,Acute Diarrheal Disease,20,00,21-01-23,
Karnataka,Dakshin Kannada,Leptospirosis,01,01,01-02-23,
Karnataka,Dakshin Kannada,Acute Diarrheal Disease,254,00,06-02-2023,
Karnataka,Hassan,Chickenpox,19,00,06-02-2023,
Karnataka,Raichur,Chikungunya,42,00,16-02-23,
Madhya Pradesh,Shivpuri,Food Poisoning,111,00,20-01-2023,
Maharashtra,Pune,Acute Diarrheal Disease,49,00,09-02-2023,
Tamil Nadu,Erode,Food Poisoning,102,00,10-02-2023,
Uttar Pradesh,Pratapgarh,Fever with Rash,65,00,06-02-2023
Bihar,Aurangabad,Measles,06,00,25-02-2023,02-03-2023
Chhattisgarh,Durg,Fever with Rash,31,00,28-02-2023,01-03-2023
Kerala,Malappuram,Cholera,52,00,04-03-23,09-03-23
Kerala,Palakkad,Chickenpox,22,00,27-02-23,02-03-23
Kerala,Thrissur,Adeno Virus,220,00,02-03-23,09-03-23
Maharashtra,Ahmednagar,Fever,120,00,24-02-2023,01-03-2023
Odisha,Cuttack,Food Poisoning,12,00,25-02-2023,27-02-2023
Tamil Nadu,Salem,Chickenpox,13,00,01-03-2023,02-03-2023
Tamil Nadu,Tiruvannamalai,Chickenpox,40,00,25-02-2023,27-02-2023
Kerala,Ernakulam,Adeno Virus,581,00,18-02-23,
Kerala,Kottayam,Adeno Virus,75,00,19-02-23,
Kerala,Palakkad,Chickenpox,10,00,29-01-23,
Kerala,Palakkad,Food Poisoning,23,00,23-02-23,
Madhya Pradesh,Raisen,Chickenpox,14,00,18-02-23,
Odisha,Rayagada,Acute Diarrheal Disease,11,00,21-02-23,
