State/UT,District,Disease/Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting
Jharkhand,Hazaribagh,Acute Diarrheal Disease,57,0,14-08-2024,16-08-2024
Jharkhand,Koderma,Acute Diarrheal Disease,32,0,13-08-2024,13-08-2024
Karnataka,Belagavi,Acute Diarrheal Disease,99,1,12-08-2024,12-08-2024
Karnataka,Bengaluru Urban,Zika Virus,7,0,14-08-2024,17-08-2024
Karnataka,Raichur,Chikungunya,23,0,12-08-2024,13-08-2024
Karnataka,Vijayapura,Cholera,30,0,12-08-2024,13-08-2024
Kerala,Ernakulam,Hepatitis A,26,0,09-08-2024,12-08-2024
Kerala,Kannur,Food Poisoning,163,0,14-08-2024,16-08-2024
Kerala,Palakkad,Mumps,35,0,16-08-2024,18-08-2024
Madhya Pradesh,Bhopal,Acute Diarrheal Disease,14,0,12-08-2024,13-08-2024
Madhya Pradesh,Bhopal,Acute Diarrheal Disease,28,0,12-08-2024,12-08-2024
Madhya Pradesh,Damoh,Acute Diarrheal Disease,56,0,09-08-2024,13-08-2024
Madhya Pradesh,Guna,Acute Diarrheal Disease,18,0,17-08-2024,17-08-2024
Madhya Pradesh,Rewa,Cholera,32,0,13-08-2024,13-08-2024
Madhya Pradesh,Shivpuri,Food Poisoning,50,0,16-08-2024,17-08-2024
Madhya Pradesh,Shivpuri,Acute Diarrheal Disease,40,0,12-08-2024,13-08-2024
Madhya Pradesh,Singrauli,Acute Diarrheal Disease,43,0,17-08-2024,18-08-2024
Maharashtra,Amravati,Acute Diarrheal Disease,87,0,14-08-2024,16-08-2024
Maharashtra,Satara,Chikungunya,28,0,06-08-2024,12-08-2024
Manipur,Kamjong,Typhoid,7,0,12-08-2024,12-08-2024
Mizoram,Serchhip,Typhoid,68,0,16-08-2024,16-08-2024
Odisha,Balangir,Acute Diarrheal Disease,29,0,13-08-2024,13-08-2024
Odisha,Balangir,Acute Diarrheal Disease,32,0,13-08-2024,13-08-2024
Odisha,Balangir,Acute Diarrheal Disease,38,0,12-08-2024,12-08-2024
Odisha,Balangir,Acute Diarrheal Disease,22,0,12-08-2024,12-08-2024
Odisha,Bargarh,Acute Diarrheal Disease,39,0,12-08-2024,12-08-2024
Odisha,Bhadrak,Dengue,24,0,07-08-2024,13-08-2024
Odisha,Ganjam,Cholera,36,0,17-08-2024,18-08-2024
Odisha,Jharsuguda,Acute Diarrheal Disease,41,0,17-08-2024,17-08-2024
Odisha,Rayagada,Acute Diarrheal Disease,15,2,16-08-2024,18-08-2024
Tamil Nadu,Pudukkottai,Acute Diarrheal Disease,60,0,16-08-2024,17-08-2024
Tamil Nadu,Ranipet,Human Rabies,1,1,14-08-2024,16-08-2024
Tamil Nadu,Salem,Mumps,16,0,14-08-2024,14-08-2024
Tamil Nadu,Thiruvallur,Acute Diarrheal Disease,18,0,10-08-2024,12-08-2024
Uttar Pradesh,Auraiya,Acute Diarrheal Disease,22,2,10-08-2024,12-08-2024
Uttar Pradesh,Mirzapur,Acute Diarrheal Disease,17,2,16-08-2024,16-08-2024
Uttar Pradesh,Mirzapur,Acute Diarrheal Disease,12,0,13-08-2024,14-08-2024
Uttar Pradesh,Sonbhadra,Acute Diarrheal Disease,14,0,17-08-2024,18-08-2024
Uttar Pradesh,Sonbhadra,Acute Diarrheal Disease,7,2,15-08-2024,18-08-2024
Uttar Pradesh,Sonbhadra,Acute Diarrheal Disease,17,0,11-08-2024,12-08-2024
West Bengal,Purba Bardhaman,Acute Diarrheal Disease,27,0,12-08-2024,12-08-2024
West Bengal,Purulia,Acute Diarrheal Disease,35,0,14-08-2024,14-08-2024
Andhra Pradesh,Anakapalli,Food Poisoning,81,3,19-08-2024,23-08-2024
Andhra Pradesh,Chittoor,Acute Diarrheal Disease,200,0,21-08-2024,23-08-2024
Andhra Pradesh,Sri Sathya Sai,Cholera,47,0,20-08-2024,20-08-2024
Arunachal Pradesh,Papum Pare,Acute Diarrheal Disease,19,2,21-08-2024,21-08-2024
Assam,Bongaigaon,Japanese Encephalitis,3,3,19-08-2024,22-08-2024
Assam,Dibrugarh,Acute Diarrheal Disease,48,0,20-08-2024,21-08-2024
Bihar,Aurangabad,Acute Diarrheal Disease,15,0,16-08-2024,19-08-2024
Bihar,Madhubani,Acute Diarrheal Disease,22,0,24-08-2024,24-08-2024
Chhattisgarh,Bijapur,Dengue,9,0,22-08-2024,23-08-2024
Chhattisgarh,Mahasamund,Acute Diarrheal Disease,48,0,24-08-2024,25-08-2024
Chhattisgarh,Raipur,Acute Diarrheal Disease,31,0,24-08-2024,24-08-2024
Haryana,Yamunanagar,Hepatitis A,127,0,22-08-2024,22-08-2024
Jammu and Kashmir,Anantnag,Hepatitis A,21,0,20-08-2024,20-08-2024
Jammu and Kashmir,Baramulla,Hepatitis A,20,0,25-08-2024,25-08-2024
Jammu and Kashmir,Baramulla,Chickenpox,18,0,20-08-2024,20-08-2024
Jharkhand,Jamtara,Acute Diarrheal Disease,39,0,21-08-2024,22-08-2024
Karnataka,Haveri,Acute Diarrheal Disease,48,0,23-08-2024,23-08-2024
Karnataka,Kalaburagi,Acute Diarrheal Disease,23,0,20-08-2024,21-08-2024
Karnataka,Raichur,Dengue,31,0,19-08-2024,20-08-2024
Karnataka,Raichur,Acute Diarrheal Disease,14,0,24-08-2024,24-08-2024
Karnataka,Tumakuru,Food Poisoning,21,0,19-08-2024,20-08-2024
Kerala,Wayanad,Cholera,17,1,20-08-2024,22-08-2024
Madhya Pradesh,Betul,Acute Diarrheal Disease,77,2,23-08-2024,25-08-2024
Madhya Pradesh,Rewa,Acute Diarrheal Disease,19,0,23-08-2024,24-08-2024
Madhya Pradesh,Satna,Acute Diarrheal Disease,32,0,18-08-2024,19-08-2024
Madhya Pradesh,Seoni,Acute Diarrheal Disease,40,2,22-08-2024,24-08-2024
Madhya Pradesh,Shahdol,Cholera,7,0,21-08-2024,22-08-2024
Madhya Pradesh,Sheopur,Acute Diarrheal Disease,105,2,23-08-2024,24-08-2024
Madhya Pradesh,Shivpuri,Acute Diarrheal Disease,19,0,19-08-2024,21-08-2024
Madhya Pradesh,Singrauli,Acute Diarrheal Disease,26,0,21-08-2024,22-08-2024
Madhya Pradesh,Umaria,Acute Diarrheal Disease,16,0,25-08-2024,25-08-2024
Maharashtra,Amravati,Food Poisoning,6,1,16-08-2024,20-08-2024
Maharashtra,Aurangabad,Food Poisoning,181,0,17-08-2024,19-08-2024
Maharashtra,Palghar,Dengue,3,1,22-08-2024,23-08-2024
Odisha,Balangir,Acute Diarrheal Disease,97,0,23-08-2024,23-08-2024
Odisha,Balangir,Acute Diarrheal Disease,9,0,22-08-2024,23-08-2024
Odisha,Balangir,Acute Diarrheal Disease,10,0,19-08-2024,19-08-2024
Odisha,Balangir,Acute Diarrheal Disease,23,0,19-08-2024,19-08-2024
Odisha,Bargarh,Acute Diarrheal Disease,38,0,22-08-2024,22-08-2024
Odisha,Ganjam,Cholera,26,0,19-08-2024,20-08-2024
Odisha,Kendrapara,Acute Diarrheal Disease,38,0,19-08-2024,20-08-2024
Odisha,Koraput,Acute Diarrheal Disease,19,1,23-08-2024,23-08-2024
Odisha,Koraput,Acute Diarrheal Disease,12,1,20-08-2024,21-08-2024
Odisha,Rayagada,Diphtheria,1,1,18-08-2024,19-08-2024
Odisha,Rayagada,Acute Diarrheal Disease,6,0,19-08-2024,20-08-2024
Odisha,Sambalpur,Leptospirosis,38,0,20-08-2024,20-08-2024
Odisha,Sonepur,Acute Diarrheal Disease,12,1,22-08-2024,22-08-2024
Punjab,Rupnagar,Cholera,101,0,21-08-2024,21-08-2024
Tamil Nadu,Salem,Mumps,36,0,22-08-2024,22-08-2024
Tamil Nadu,Tenkasi,Mumps,16,0,22-08-2024,24-08-2024
Tamil Nadu,Thanjavur,Acute Diarrheal Disease,30,0,24-08-2024,25-08-2024
Tamil Nadu,Thanjavur,Typhoid,63,0,21-08-2024,21-08-2024
Tamil Nadu,Thiruvallur,Acute Diarrheal Disease,13,0,23-08-2024,24-08-2024
Tamil Nadu,Thiruvarur,Hepatitis A,16,0,21-08-2024,23-08-2024
Tamil Nadu,Tiruchirappalli,Dengue,5,0,19-08-2024,20-08-2024
Tamil Nadu,Tiruchirappalli,Mumps,9,0,16-08-2024,19-08-2024
Tamil Nadu,Tirupathur,Mumps,15,0,21-08-2024,23-08-2024
Tamil Nadu,Tuticorin,Mumps,6,0,17-08-2024,19-08-2024
Uttar Pradesh,Gonda,Acute Diarrheal Disease,15,0,20-08-2024,22-08-2024
Uttar Pradesh,Kaushambi,Acute Diarrheal Disease,26,0,24-08-2024,24-08-2024
Uttar Pradesh,Mirzapur,Acute Diarrheal Disease,19,3,19-08-2024,20-08-2024
Uttar Pradesh,Mirzapur,Acute Diarrheal Disease,27,1,19-08-2024,20-08-2024
Andhra Pradesh,Kakinada,Food Poisoning,106,0,27-08-2024,29-08-2024
Assam,Hojai,Diphtheria,1,1,31-08-2024,31-08-2024
Assam,Lakhimpur,Dysentry,30,1,26-08-2024,26-08-2024
Bihar,Buxar,Acute Diarrheal Disease,65,0,25-08-2024,26-08-2024
Bihar,Gaya,Acute Diarrheal Disease,15,2,29-08-2024,30-08-2024
Bihar,Jamui,Acute Diarrheal Disease,11,0,27-08-2024,27-08-2024
Chhattisgarh,Balod,Acute Diarrheal Disease,115,0,24-08-2024,27-08-2024
Chhattisgarh,Bastar,Acute Diarrheal Disease,97,0,30-08-2024,30-08-2024
Chhattisgarh,Bemetara,Acute Diarrheal Disease,66,0,28-08-2024,29-08-2024
Chhattisgarh,Bijapur,Measles,6,0,27-08-2024,28-08-2024
Chhattisgarh,Raigarh,Acute Diarrheal Disease,58,0,24-08-2024,27-08-2024
Chhattisgarh,Rajnandgaon,Acute Diarrheal Disease,47,0,28-08-2024,29-08-2024
Chhattisgarh,Sarangarh Bilaigarh,Acute Diarrheal Disease,31,0,28-08-2024,28-08-2024
Chhattisgarh,Sukma,Dengue,45,0,28-08-2024,30-08-2024
Gujarat,Dohad,Food Poisoning,29,0,29-08-2024,31-08-2024
Jammu and Kashmir,Baramulla,Jaundice,15,0,27-08-2024,28-08-2024
Jharkhand,Pakur,Acute Diarrheal Disease,16,0,30-08-2024,30-08-2024
Jharkhand,West Singhbhum,Malaria,40,0,30-08-2024,31-08-2024
Karnataka,Chamarajanagar,Food Poisoning,33,0,28-08-2024,29-08-2024
Karnataka,Davangere,Acute Diarrheal Disease,86,0,29-08-2024,31-08-2024
Karnataka,Davangere,Acute Diarrheal Disease,30,0,24-08-2024,26-08-2024
Karnataka,Haveri,Acute Diarrheal Disease,50,0,26-08-2024,26-08-2024
Karnataka,Mandya,Acute Diarrheal Disease,27,1,24-08-2024,27-08-2024
Karnataka,Tumakuru,Acute Diarrheal Disease,41,1,26-08-2024,27-08-2024
Ladakh,Leh Ladakh,Mumps,49,0,29-08-2024,30-08-2024
Madhya Pradesh,Ashoknagar,Acute Diarrheal Disease,42,0,30-08-2024,30-08-2024
Madhya Pradesh,Chhatarpur,Acute Diarrheal Disease,4,2,29-08-2024,29-08-2024
Madhya Pradesh,Chhindwara,Acute Diarrheal Disease,36,0,28-08-2024,28-08-2024
Madhya Pradesh,Datia,Acute Diarrheal Disease,30,0,25-08-2024,26-08-2024
Madhya Pradesh,Harda,Dengue,43,0,28-08-2024,28-08-2024
Madhya Pradesh,Morena,Fever of Unknown Origin,17,0,29-08-2024,30-08-2024
Madhya Pradesh,Raisen,Acute Diarrheal Disease,24,0,29-08-2024,30-08-2024
Maharashtra,Beed,Hepatitis A,9,0,28-08-2024,29-08-2024
Maharashtra,Palghar,Malaria,41,0,28-08-2024,29-08-2024
Odisha,Balangir,Acute Diarrheal Disease,133,0,26-08-2024,26-08-2024
Odisha,Bhadrak,Acute Diarrheal Disease,17,0,28-08-2024,29-08-2024
Odisha,Boudh,Jaundice,20,0,30-08-2024,31-08-2024
Odisha,Ganjam,Cholera,86,0,30-08-2024,01-09-2024
Odisha,Kandhamal,Acute Diarrheal Disease,22,0,25-08-2024,27-08-2024
Odisha,Koraput,Acute Diarrheal Disease,14,0,26-08-2024,29-08-2024
Odisha,Nuapada,Cholera,19,0,28-08-2024,28-08-2024
Punjab,Rupnagar,Cholera,101,0,23-08-2024,29-08-2024
Rajasthan,Baran,Acute Diarrheal Disease,48,0,27-08-2024,27-08-2024
Tamil Nadu,Namakkal,Chickenpox,26,0,28-08-2024,28-08-2024
Tamil Nadu,Tiruchirappalli,Mumps,12,0,27-08-2024,27-08-2024
Uttar Pradesh,Mathura,Food Poisoning,110,0,27-08-2024,27-08-2024
Uttar Pradesh,Shravasti,Acute Diarrheal Disease,14,2,27-08-2024,29-08-2024
Uttar Pradesh,Siddharth Nagar,Acute Diarrheal Disease,14,1,25-08-2024,27-08-2024
Uttar Pradesh,Sonbhadra,Acute Diarrheal Disease,40,3,29-08-2024,30-08-2024
West Bengal,Purulia,Cholera,34,0,01-09-2024,01-09-2024
West Bengal,Purulia,Acute Diarrheal Disease,29,0,27-08-2024,27-08-2024
Andhra Pradesh,Alluri Sitharama Raju,Food Poisoning,61,0,30-08-2024,02-09-2024
Andhra Pradesh,Nandyal,Acute Diarrheal Disease,36,0,02-09-2024,03-09-2024
Assam,Cachar,Chickenpox,8,0,06-09-2024,06-09-2024
Bihar,Arwal,Acute Diarrheal Disease,7,2,01-09-2024,07-09-2024
Chhattisgarh,Bijapur,Measles,9,0,04-09-2024,04-09-2024
Chhattisgarh,Dhamtari,Acute Diarrheal Disease,26,0,04-09-2024,05-09-2024
Chhattisgarh,Mungeli,Acute Diarrheal Disease,109,0,03-09-2024,03-09-2024
Chhattisgarh,Raigarh,Acute Diarrheal Disease,38,0,03-09-2024,03-09-2024
Gujarat,Vadodara,Cholera,29,0,05-09-2024,06-09-2024
Haryana,Yamunanagar,Acute Diarrheal Disease,34,0,05-09-2024,05-09-2024
Jammu and Kashmir,Bandipora,Cholera,23,0,02-09-2024,03-09-2024
Jammu and Kashmir,Kathua,Dengue,5,0,05-09-2024,05-09-2024
Jammu and Kashmir,Shopian,Hepatitis A,10,0,03-09-2024,04-09-2024
Jammu and Kashmir,Srinagar,Hepatitis A,10,0,03-09-2024,03-09-2024
Jammu and Kashmir,Udhampur,Cholera,47,0,02-09-2024,04-09-2024
Jharkhand,Giridih,Acute Diarrheal Disease,12,1,02-09-2024,02-09-2024
Jharkhand,Giridih,Acute Diarrheal Disease,19,1,03-09-2024,03-09-2024
Karnataka,Udupi,Cholera,8,0,04-09-2024,05-09-2024
Karnataka,Uttar Kannad,Acute Diarrheal Disease,91,1,02-09-2024,02-09-2024
Kerala,Idukki,Mumps,21,0,02-09-2024,03-09-2024
Kerala,Kozhikode,Hepatitis A,71,0,04-09-2024,06-09-2024
Kerala,Kozhikode,Dengue,20,0,04-09-2024,04-09-2024
Madhya Pradesh,Barwani,Acute Diarrheal Disease,27,0,02-09-2024,02-09-2024
Madhya Pradesh,Guna,Dengue,18,0,06-09-2024,06-09-2024
Madhya Pradesh,Harda,Dengue,10,0,03-09-2024,05-09-2024
Madhya Pradesh,Mandla,Acute Diarrheal Disease,47,0,05-09-2024,05-09-2024
Madhya Pradesh,Rewa,Acute Diarrheal Disease,10,0,03-09-2024,03-09-2024
Madhya Pradesh,Rewa,Acute Diarrheal Disease,8,0,01-09-2024,02-09-2024
Madhya Pradesh,Satna,Acute Diarrheal Disease,31,2,06-09-2024,06-09-2024
Madhya Pradesh,Satna,Acute Diarrheal Disease,24,0,05-09-2024,05-09-2024
Madhya Pradesh,Shajapur,Dengue,6,0,04-09-2024,08-09-2024
Madhya Pradesh,Umaria,Acute Diarrheal Disease,8,0,08-09-2024,08-09-2024
Madhya Pradesh,Umaria,Acute Diarrheal Disease,7,0,08-09-2024,08-09-2024
Madhya Pradesh,Umaria,Acute Diarrheal Disease,6,0,06-09-2024,06-09-2024
Maharashtra,Hingoli,Acute Diarrheal Disease,7,0,05-09-2024,07-09-2024
Maharashtra,Kolhapur,Hepatitis A,48,0,02-09-2024,03-09-2024
Maharashtra,Nanded,Dengue,7,0,05-09-2024,06-09-2024
Maharashtra,Osmanabad,Dengue,21,1,02-09-2024,04-09-2024
Maharashtra,Thane,Malaria,1,1,06-09-2024,06-09-2024
Maharashtra,Thane,Dengue,7,1,31-08-2024,05-09-2024
Manipur,Bishnupur,Scrub Typhus,2,1,02-09-2024,03-09-2024
Odisha,Balangir,Acute Gastroenteritis,116,0,07-09-2024,08-09-2024
Odisha,Balangir,Food Poisoning,7,0,03-09-2024,03-09-2024
Odisha,Balangir,Acute Diarrheal Disease,10,0,03-09-2024,03-09-2024
Odisha,Bargarh,Acute Diarrheal Disease,22,0,06-09-2024,06-09-2024
Odisha,Bargarh,Acute Diarrheal Disease,15,0,02-09-2024,02-09-2024
Odisha,Ganjam,Measles,5,0,01-09-2024,03-09-2024
Odisha,Jajapur,Acute Diarrheal Disease,8,0,03-09-2024,03-09-2024
Odisha,Kalahandi,Acute Diarrheal Disease,15,0,05-09-2024,06-09-2024
Odisha,Kalahandi,Acute Diarrheal Disease,6,0,02-09-2024,03-09-2024
Odisha,Khordha,Hepatitis A,6,0,06-09-2024,07-09-2024
Odisha,Malkangiri,Acute Diarrheal Disease,6,0,08-09-2024,08-09-2024
Odisha,Nabarangpur,Cholera,30,0,06-09-2024,07-09-2024
Odisha,Sundargarh,Food Poisoning,6,0,02-09-2024,02-09-2024
Tamil Nadu,Thanjavur,Mumps,8,0,31-08-2024,02-09-2024
Tamil Nadu,Tirunelveli,Mumps,13,0,30-08-2024,03-09-2024
Uttar Pradesh,Gautam Buddha Nagar,Acute Diarrheal Disease,668,0,02-09-2024,07-09-2024
Uttar Pradesh,Lalitpur,Acute Diarrheal Disease,17,0,02-09-2024,02-09-2024
Uttar Pradesh,Sonbhadra,Acute Diarrheal Disease,26,0,04-09-2024,05-09-2024
West Bengal,Purba Bardhaman,Acute Diarrheal Disease,102,0,02-09-2024,03-09-2024
Andhra Pradesh,Chittoor,Cholera,63,0,15-09-2024,15-09-2024
Andhra Pradesh,Sri Sathya Sai,Food Poisoning,64,0,10-09-2024,10-09-2024
Assam,Dhemaji,Food Poisoning,120,0,09-09-2024,10-09-2024
Assam,Dhemaji,Food Poisoning,189,0,08-09-2024,09-09-2024
Assam,Lakhimpur,Food Poisoning,52,0,15-09-2024,15-09-2024
Bihar,Aurangabad,Acute Diarrheal Disease,24,0,13-09-2024,14-09-2024
Bihar,Buxar,Acute Diarrheal Disease,45,0,11-09-2024,11-09-2024
Bihar,Gaya,Acute Diarrheal Disease,15,2,09-09-2024,10-09-2024
Chhattisgarh,Balod,Acute Diarrheal Disease,135,0,14-09-2024,15-09-2024
Chhattisgarh,Durg,Cholera,50,0,13-09-2024,14-09-2024
Chhattisgarh,Durg,Cholera,43,0,09-09-2024,13-09-2024
Chhattisgarh,Surguja,Acute Diarrheal Disease,26,0,11-09-2024,11-09-2024
Gujarat,Jamnagar,Cholera,83,0,14-09-2024,14-09-2024
Jammu and Kashmir,Anantnag,Hepatitis A,10,0,13-09-2024,13-09-2024
Jammu and Kashmir,Baramulla,Chickenpox,50,0,11-09-2024,11-09-2024
Jammu and Kashmir,Baramulla,Hepatitis A,11,0,07-09-2024,09-09-2024
Jammu and Kashmir,Kulgam,Hepatitis A,28,0,09-09-2024,10-09-2024
Jammu and Kashmir,Ramban,Hepatitis A,10,2,09-09-2024,11-09-2024
Jammu and Kashmir,Srinagar,Hepatitis A,11,0,09-09-2024,09-09-2024
Jharkhand,Latehar,Scrub typhus,40,0,10-09-2024,10-09-2024
Jharkhand,Pakur,Acute Diarrheal Disease,12,0,10-09-2024,11-09-2024
Karnataka,Mysuru,Acute Diarrheal Disease,90,2,11-09-2024,11-09-2024
Karnataka,Udupi,Cholera,5,0,10-09-2024,15-09-2024
Kerala,Idukki,Mumps,19,0,10-09-2024,11-09-2024
Kerala,Kozhikode,Hepatitis A,325,0,10-09-2024,10-09-2024
Kerala,Kozhikode,Hepatitis A,27,0,09-09-2024,09-09-2024
Kerala,Palakkad,Food Poisoning,71,0,10-09-2024,10-09-2024
Madhya Pradesh,Panna,Acute Diarrheal Disease,15,3,12-09-2024,12-09-2024
Madhya Pradesh,Ratlam,Dengue,26,0,10-09-2024,11-09-2024
Maharashtra,Amravati,Acute Diarrheal Disease,67,2,11-09-2024,12-09-2024
Maharashtra,Bhandara,Acute Diarrheal Disease,20,0,14-09-2024,14-09-2024
Maharashtra,Buldhana,Acute Diarrheal Disease,26,0,07-09-2024,10-09-2024
Maharashtra,Nandurbar,Acute Diarrheal Disease,16,0,08-09-2024,09-09-2024
Manipur,Senapati,Chickenpox,30,0,09-09-2024,09-09-2024
Meghalaya,East Khasi Hills,Fever with Rash,35,0,13-09-2024,13-09-2024
Mizoram,Saitual,Food Poisoning,40,0,09-09-2024,10-09-2024
Odisha,Balangir,Acute Diarrheal Disease,21,0,12-09-2024,13-09-2024
Odisha,Bargarh,Acute Diarrheal Disease,25,0,13-09-2024,15-09-2024
Odisha,Malkangiri,Malaria,160,5,12-09-2024,13-09-2024
Odisha,Mayurbhanj,Acute Diarrheal Disease,25,0,11-09-2024,11-09-2024
Odisha,Mayurbhanj,Food Poisoning,133,0,08-09-2024,10-09-2024
Odisha,Rayagada,Acute Diarrheal Disease,23,0,11-09-2024,13-09-2024
Tamil Nadu,Chennai,Acute Diarrheal Disease,92,0,11-09-2024,13-09-2024
Tamil Nadu,Madurai,Acute Diarrheal Disease,115,0,12-09-2024,14-09-2024
Tamil Nadu,Virudhunagar,Mumps,41,0,12-09-2024,13-09-2024
Uttar Pradesh,Sonbhadra,Malaria,23,0,13-09-2024,15-09-2024
West Bengal,24 Paraganas North,Food Poisoning,73,0,09-09-2024,10-09-2024
West Bengal,Alipurduar,Food Poisoning,60,0,08-09-2024,09-09-2024
West Bengal,Purulia,Acute Diarrheal Disease,16,0,09-09-2024,11-09-2024
West Bengal,Purulia,Acute Diarrheal Disease,51,0,09-09-2024,09-09-2024
West Bengal,Purulia,Acute Diarrheal Disease,36,0,14-09-2024,14-09-2024
Andhra Pradesh,Nandyal,Acute Diarrheal Disease,51,0,13-09-2024,17-09-2024
Andhra Pradesh,Visakhapatanam,Acute Diarrheal Disease,24,0,14-09-2024,21-09-2024
Arunachal Pradesh,Namsai,Measles,2,0,16-09-2024,16-09-2024
Assam,Darrang,Food Poisoning,35,0,19-09-2024,20-09-2024
Assam,Lakhimpur,Acute Diarrheal Disease,13,0,15-09-2024,16-09-2024
Bihar,Jehanabad,Dengue,11,0,17-09-2024,17-09-2024
Chhattisgarh,Surajpur,Acute Diarrheal Disease,14,0,18-09-2024,18-09-2024
Chhattisgarh,Surguja,Acute Diarrheal Disease,17,0,20-09-2024,20-09-2024
Gujarat,Jamnagar,Food Poisoning,79,0,13-09-2024,18-09-2024
Gujarat,Panchmahals,Hepatitis A,21,0,20-09-2024,20-09-2024
Haryana,Kurukshetra,Hepatitis A & E,30,0,17-09-2024,17-09-2024
Himachal Pradesh,Hamirpur,Acute Diarrheal Disease,47,0,13-09-2024,16-09-2024
Jammu and Kashmir,Anantnag,Hepatitis A,6,0,21-09-2024,21-09-2024
Jharkhand,Garhwa,Acute Diarrheal Disease,10,0,18-09-2024,18-09-2024
Jharkhand,Giridih,Acute Diarrheal Disease,15,1,18-09-2024,18-09-2024
Jharkhand,Sahebganj,Malaria,43,0,13-09-2024,18-09-2024
Jharkhand,West Singhbhum,Acute Diarrheal Disease,43,0,19-09-2024,19-09-2024
Karnataka,Vijayapura,Dengue,37,0,17-09-2024,19-09-2024
Kerala,Malappuram,Mpox,1,0,16-09-2024,18-09-2024
Kerala,Malappuram,Nipah Virus,1,1,15-09-2024,16-09-2024
Kerala,Palakkad,Hepatitis A,4,0,20-09-2024,21-09-2024
Madhya Pradesh,Chhindwara,Acute Diarrheal Disease,11,0,14-09-2024,16-09-2024
Madhya Pradesh,Dhar,Dengue,171,0,17-09-2024,17-09-2024
Madhya Pradesh,Dhar,Measles,15,0,17-09-2024,17-09-2024
Maharashtra,Gadchiroli,Scrub Typhus,1,1,17-09-2024,17-09-2024
Maharashtra,Latur,Hepatitis A,65,0,18-09-2024,18-09-2024
Maharashtra,Pune,Cholera,6,0,16-09-2024,19-09-2024
Odisha,Bargarh,Scrub Typhus,27,0,13-09-2024,17-09-2024
Odisha,Bargarh,Acute Diarrheal Disease,54,0,18-09-2024,18-09-2024
Odisha,Bargarh,Acute Diarrheal Disease,10,0,16-09-2024,17-09-2024
Odisha,Ganjam,Acute Diarrheal Disease,35,0,16-09-2024,18-09-2024
Odisha,Ganjam,Hepatitis A,13,0,14-09-2024,16-09-2024
Odisha,Koraput,Acute Diarrheal Disease,35,0,15-09-2024,18-09-2024
Odisha,Koraput,Acute Diarrheal Disease,9,0,15-09-2024,18-09-2024
Odisha,Malkangiri,Hepatitis A,21,0,21-09-2024,21-09-2024
Odisha,Mayurbhanj,Acute Diarrheal Disease,13,0,19-09-2024,19-09-2024
Odisha,Rayagada,Cholera,18,1,16-09-2024,18-09-2024
Odisha,Sonepur,Food Poisoning,30,0,21-09-2024,22-09-2024
Rajasthan,Baran,Food Poisoning,21,0,19-09-2024,19-09-2024
Tamil Nadu,Chennai,Acute Diarrheal Disease,48,0,16-09-2024,21-09-2024
Tamil Nadu,Tenkasi,Hepatitis A,67,0,20-09-2024,21-09-2024
Tamil Nadu,Theni,Acute Encephalitic Syndrome,3,1,18-09-2024,21-09-2024
Tamil Nadu,Thiruvallur,Acute Diarrheal Diseases,8,0,21-09-2024,21-09-2024
Tamil Nadu,Tirupathur,Dengue,4,1,19-09-2024,22-09-2024
Tamil Nadu,Villupuram,Mumps,7,0,18-09-2024,19-09-2024
Uttar Pradesh,Lalitpur,Acute Diarrheal Disease,32,1,18-09-2024,18-09-2024
West Bengal,Alipurduar,Malaria,129,0,17-09-2024,19-09-2024
West Bengal,Purba Bardhaman,Acute Diarrheal Disease,27,0,20-09-2024,20-09-2024
West Bengal,Purulia,Acute Diarrheal Disease,43,0,20-09-2024,21-09-2024
Andhra Pradesh,Chittoor,Cholera,28,0,24-09-2024,27-09-2024
Andhra Pradesh,Vizianagaram,Cholera,17,0,23-09-2024,27-09-2024
Assam,Jorhat,Acute Diarrheal Disease,153,0,27-09-2024,27-09-2024
Bihar,Aurangabad,Acute Diarrheal Disease,22,0,20-09-2024,23-09-2024
Bihar,Jamui,Acute Diarrheal Disease,82,0,22-09-2024,23-09-2024
Chhattisgarh,Balod,Acute Diarrheal Disease,79,0,22-09-2024,23-09-2024
Chhattisgarh,Baloda Bazar,Acute Diarrheal Disease,32,0,24-09-2024,24-09-2024
Chhattisgarh,Bemetara,Acute Diarrheal Disease,31,0,24-09-2024,24-09-2024
Chhattisgarh,Jashpur,Food Poisoning,24,0,21-09-2024,23-09-2024
Chhattisgarh,Mungeli,Acute Diarrheal Disease,47,0,23-09-2024,25-09-2024
Gujarat,Bharuch,Cholera,17,0,23-09-2024,23-09-2024
Gujarat,Mahesana,Hepatitis A,13,0,28-09-2024,28-09-2024
Jammu and Kashmir,Kupwara,Cholera,59,0,25-09-2024,25-09-2024
Jammu and Kashmir,Shopian,Hepatitis A,20,0,25-09-2024,27-09-2024
Jharkhand,Simdega,Malaria,7,0,28-09-2024,28-09-2024
Karnataka,Raichur,Food Poisoning,14,0,24-09-2024,25-09-2024
Kerala,Ernakulam,Mpox,1,0,25-09-2024,28-09-2024
Kerala,Kasaragod,Leptospirosis,11,2,22-09-2024,24-09-2024
Kerala,Kozhikode,Hepatitis A,37,0,28-09-2024,28-09-2024
Kerala,Malappuram,Hepatitis A,14,0,25-09-2024,27-09-2024
Kerala,Palakkad,Acute Diarrheal Disease,23,0,26-09-2024,28-09-2024
